#observed;actual;antenna;datetime
0;41;32;02/07/15 08:14 AM
0;34;32;02/07/15 08:15 AM
0;32;32;02/07/15 08:16 AM
0;30;32;02/07/15 08:17 AM
0;32;32;02/07/15 08:18 AM
0;37;32;02/07/15 08:19 AM
0;40;32;02/07/15 08:20 AM
0;41;32;02/07/15 08:21 AM
0;41;32;02/07/15 08:22 AM
0;35;32;02/07/15 08:23 AM
0;41;32;02/07/15 08:24 AM
0;39;32;02/07/15 08:25 AM
0;39;32;02/07/15 08:26 AM
0;44;32;02/07/15 08:27 AM
0;52;32;02/07/15 08:28 AM
0;43;32;02/07/15 08:29 AM
0;44;32;02/07/15 08:30 AM
0;37;32;02/07/15 08:31 AM
0;49;32;02/07/15 08:32 AM
0;35;32;02/07/15 08:33 AM
0;33;32;02/07/15 08:34 AM
0;30;32;02/07/15 08:35 AM
0;37;32;02/07/15 08:36 AM
0;34;32;02/07/15 08:37 AM
0;28;32;02/07/15 08:38 AM
0;37;32;02/07/15 08:39 AM
0;31;32;02/07/15 08:40 AM
0;40;32;02/07/15 08:41 AM
0;36;32;02/07/15 08:42 AM
0;42;32;02/07/15 08:43 AM
0;45;32;02/07/15 08:44 AM
0;51;32;02/07/15 08:45 AM
0;46;32;02/07/15 08:46 AM
0;48;32;02/07/15 08:47 AM
0;43;32;02/07/15 08:48 AM
0;50;32;02/07/15 08:49 AM
0;41;32;02/07/15 08:50 AM
0;44;32;02/07/15 08:51 AM
0;43;32;02/07/15 08:52 AM
0;40;32;02/07/15 08:53 AM
0;43;32;02/07/15 08:54 AM
0;44;32;02/07/15 08:55 AM
0;41;32;02/07/15 08:56 AM
0;39;32;02/07/15 08:57 AM
0;30;32;02/07/15 08:58 AM
0;40;32;02/07/15 08:59 AM
0;38;32;02/07/15 09:00 AM
0;41;32;02/07/15 09:01 AM
0;33;32;02/07/15 09:02 AM
0;48;32;02/07/15 09:03 AM
0;38;32;02/07/15 09:04 AM
0;34;32;02/07/15 09:05 AM
0;35;32;02/07/15 09:06 AM
0;36;32;02/07/15 09:07 AM
11;55;32;02/07/15 09:08 AM
36;96;32;02/07/15 09:09 AM
8;86;32;02/07/15 09:10 AM
7;88;32;02/07/15 09:11 AM
1;78;32;02/07/15 09:12 AM
1;81;32;02/07/15 09:13 AM
10;92;32;02/07/15 09:14 AM
6;84;32;02/07/15 09:15 AM
6;90;32;02/07/15 09:16 AM
4;80;32;02/07/15 09:17 AM
1;77;32;02/07/15 09:18 AM
1;69;32;02/07/15 09:19 AM
0;40;32;02/07/15 09:20 AM
0;40;32;02/07/15 09:21 AM
0;38;32;02/07/15 09:22 AM
0;36;32;02/07/15 09:23 AM
0;28;32;02/07/15 09:24 AM
0;25;32;02/07/15 09:25 AM
0;28;32;02/07/15 09:26 AM
0;32;32;02/07/15 09:27 AM
0;34;32;02/07/15 09:28 AM
0;23;32;02/07/15 09:29 AM
0;31;32;02/07/15 09:30 AM
0;37;32;02/07/15 09:31 AM
0;41;32;02/07/15 09:32 AM
0;35;32;02/07/15 09:33 AM
0;37;32;02/07/15 09:34 AM
0;37;32;02/07/15 09:35 AM
0;31;32;02/07/15 09:36 AM
0;24;32;02/07/15 09:37 AM
0;28;32;02/07/15 09:38 AM
0;18;32;02/07/15 09:39 AM
0;26;32;02/07/15 09:40 AM
0;20;32;02/07/15 09:41 AM
0;25;32;02/07/15 09:42 AM
0;25;32;02/07/15 09:43 AM
0;22;32;02/07/15 09:44 AM
0;26;32;02/07/15 09:45 AM
0;19;32;02/07/15 09:46 AM
0;19;32;02/07/15 09:47 AM
0;25;32;02/07/15 09:48 AM
0;24;32;02/07/15 09:49 AM
0;18;32;02/07/15 09:50 AM
0;24;32;02/07/15 09:51 AM
0;19;32;02/07/15 09:52 AM
0;16;32;02/07/15 09:53 AM
0;19;32;02/07/15 09:54 AM
0;18;32;02/07/15 09:55 AM
0;22;32;02/07/15 09:56 AM
0;16;32;02/07/15 09:57 AM
0;21;32;02/07/15 09:58 AM
0;17;32;02/07/15 09:59 AM
0;12;32;02/07/15 10:00 AM
0;18;32;02/07/15 10:01 AM
0;15;32;02/07/15 10:02 AM
0;10;32;02/07/15 10:03 AM
0;16;32;02/07/15 10:04 AM
0;20;32;02/07/15 10:05 AM
0;20;32;02/07/15 10:06 AM
0;25;32;02/07/15 10:07 AM
0;15;32;02/07/15 10:08 AM
0;22;32;02/07/15 10:09 AM
0;18;32;02/07/15 10:10 AM
0;15;32;02/07/15 10:11 AM
0;20;32;02/07/15 10:12 AM
0;25;32;02/07/15 10:13 AM
0;23;32;02/07/15 10:14 AM
0;23;32;02/07/15 10:15 AM
0;14;32;02/07/15 10:16 AM
0;14;32;02/07/15 10:17 AM
0;11;32;02/07/15 10:18 AM
0;13;32;02/07/15 10:19 AM
0;19;32;02/07/15 10:20 AM
0;16;32;02/07/15 10:21 AM
0;11;32;02/07/15 10:22 AM
0;8;32;02/07/15 10:23 AM
0;11;32;02/07/15 10:24 AM
0;11;32;02/07/15 10:25 AM
0;8;32;02/07/15 10:26 AM
0;3;32;02/07/15 10:27 AM
0;9;32;02/07/15 10:28 AM
0;6;32;02/07/15 10:29 AM
0;4;32;02/07/15 10:30 AM
0;0;32;02/07/15 10:31 AM
0;5;32;02/07/15 10:32 AM
0;6;32;02/07/15 10:33 AM
0;5;32;02/07/15 10:34 AM
0;4;32;02/07/15 10:35 AM
0;11;32;02/07/15 10:36 AM
0;5;32;02/07/15 10:37 AM
0;9;32;02/07/15 10:38 AM
0;8;32;02/07/15 10:39 AM
0;8;32;02/07/15 10:40 AM
0;15;32;02/07/15 10:41 AM
0;9;32;02/07/15 10:42 AM
0;7;32;02/07/15 10:43 AM
0;3;32;02/07/15 10:44 AM
0;10;32;02/07/15 10:45 AM
0;7;32;02/07/15 10:46 AM
0;5;32;02/07/15 10:47 AM
0;9;32;02/07/15 10:48 AM
0;7;32;02/07/15 10:49 AM
0;6;32;02/07/15 10:50 AM
0;7;32;02/07/15 10:51 AM
0;12;32;02/07/15 10:52 AM
0;8;32;02/07/15 10:53 AM
0;14;32;02/07/15 10:54 AM
0;10;32;02/07/15 10:55 AM
0;7;32;02/07/15 10:56 AM
0;8;32;02/07/15 10:57 AM
0;7;32;02/07/15 10:58 AM
0;12;32;02/07/15 10:59 AM
0;13;32;02/07/15 11:00 AM
0;9;32;02/07/15 11:01 AM
0;4;32;02/07/15 11:02 AM
0;8;32;02/07/15 11:03 AM
0;11;32;02/07/15 11:04 AM
0;7;32;02/07/15 11:05 AM
0;14;32;02/07/15 11:06 AM
0;15;32;02/07/15 11:07 AM
0;13;32;02/07/15 11:08 AM
0;10;32;02/07/15 11:09 AM
0;12;32;02/07/15 11:10 AM
0;12;32;02/07/15 11:11 AM
0;7;32;02/07/15 11:12 AM
0;6;32;02/07/15 11:13 AM
0;5;32;02/07/15 11:14 AM
0;11;32;02/07/15 11:15 AM
0;7;32;02/07/15 11:16 AM
0;9;32;02/07/15 11:17 AM
0;9;32;02/07/15 11:18 AM
0;7;32;02/07/15 11:19 AM
0;5;32;02/07/15 11:20 AM
0;9;32;02/07/15 11:21 AM
0;3;32;02/07/15 11:22 AM
0;5;32;02/07/15 11:23 AM
0;2;32;02/07/15 11:24 AM
0;3;32;02/07/15 11:25 AM
0;1;32;02/07/15 11:26 AM
0;2;32;02/07/15 11:27 AM
0;3;32;02/07/15 11:28 AM
0;4;32;02/07/15 11:29 AM
0;3;32;02/07/15 11:30 AM
0;2;32;02/07/15 11:31 AM
0;1;32;02/07/15 11:32 AM
0;2;32;02/07/15 11:33 AM
0;8;32;02/07/15 11:34 AM
0;4;32;02/07/15 11:35 AM
0;1;32;02/07/15 11:36 AM
0;1;32;02/07/15 11:37 AM
0;2;32;02/07/15 11:38 AM
0;2;32;02/07/15 11:39 AM
0;0;32;02/07/15 11:40 AM
0;3;32;02/07/15 11:41 AM
0;2;32;02/07/15 11:42 AM
0;1;32;02/07/15 11:43 AM
0;2;32;02/07/15 11:44 AM
0;2;32;02/07/15 11:45 AM
0;0;32;02/07/15 11:46 AM
0;1;32;02/07/15 11:47 AM
0;3;32;02/07/15 11:48 AM
0;2;32;02/07/15 11:49 AM
0;1;32;02/07/15 11:50 AM
0;0;32;02/07/15 11:51 AM
0;0;32;02/07/15 11:52 AM
0;1;32;02/07/15 11:53 AM
0;0;32;02/07/15 11:54 AM
0;1;32;02/07/15 11:55 AM
0;1;32;02/07/15 11:56 AM
0;0;32;02/07/15 11:57 AM
0;0;32;02/07/15 11:58 AM
0;0;32;02/07/15 11:59 AM
0;1;32;02/07/15 12:00 PM
0;0;32;02/07/15 12:01 PM
0;0;32;02/07/15 12:02 PM
0;0;32;02/07/15 12:03 PM
