observed;actual;practitioner;date
18;21;7;02/16/2012
5;5;7;02/17/2012
2;2;7;02/18/2012
0;0;7;02/19/2012
9;9;7;02/20/2012
47;49;7;02/21/2012
62;61;7;02/22/2012
105;113;7;02/23/2012
17;14;7;02/24/2012
0;0;7;02/25/2012
0;0;7;02/26/2012
6;8;7;02/27/2012
48;59;7;02/28/2012
153;143;7;02/29/2012
21;22;7;03/01/2012
4;4;7;03/02/2012
1;1;7;03/03/2012
0;0;7;03/04/2012
11;41;7;03/05/2012
63;67;7;03/06/2012
83;97;7;03/07/2012
95;110;7;03/08/2012
10;39;7;03/09/2012
1;1;7;03/10/2012
2;2;7;03/11/2012
5;9;7;03/12/2012
55;60;7;03/13/2012
78;84;7;03/14/2012
18;25;7;03/15/2012
5;7;7;03/16/2012
1;1;7;03/17/2012
0;0;7;03/18/2012
26;28;7;03/19/2012
64;74;7;03/20/2012
89;102;7;03/21/2012
67;82;7;03/22/2012
41;43;7;03/23/2012
0;0;7;03/24/2012
0;0;7;03/25/2012
16;15;7;03/26/2012
46;53;7;03/27/2012
54;71;7;03/28/2012
21;27;7;03/29/2012
9;18;7;03/30/2012
2;0;7;03/31/2012
0;0;8;01/01/2012
79;42;8;01/02/2012
0;59;8;01/03/2012
51;76;8;01/04/2012
0;92;8;01/05/2012
0;0;8;01/06/2012
0;1;8;01/07/2012
0;2;8;01/08/2012
40;37;8;01/09/2012
0;65;8;01/10/2012
44;59;8;01/11/2012
0;21;8;01/12/2012
43;97;8;01/13/2012
0;0;8;01/14/2012
0;1;8;01/15/2012
24;20;8;01/16/2012
0;32;8;01/17/2012
30;59;8;01/18/2012
0;20;8;01/19/2012
37;57;8;01/20/2012
0;0;8;01/21/2012
0;0;8;01/22/2012
31;29;8;01/23/2012
2;43;8;01/24/2012
19;43;8;01/25/2012
0;21;8;01/26/2012
19;40;8;01/27/2012
0;0;8;01/28/2012
0;0;8;01/29/2012
15;16;8;01/30/2012
0;86;8;01/31/2012
0;46;8;02/01/2012
0;64;8;02/02/2012
1;54;8;02/03/2012
0;2;8;02/04/2012
0;0;8;02/05/2012
0;0;8;02/06/2012
0;79;8;02/07/2012
0;45;8;02/08/2012
0;25;8;02/09/2012
0;33;8;02/10/2012
1;2;8;02/11/2012
0;0;8;02/12/2012
21;19;8;02/13/2012
0;67;8;02/14/2012
19;34;8;02/15/2012
0;34;8;02/16/2012
32;52;8;02/17/2012
0;0;8;02/18/2012
0;0;8;02/19/2012
26;28;8;02/20/2012
0;0;8;02/21/2012
20;18;8;02/22/2012
0;11;8;02/23/2012
17;110;8;02/24/2012
0;63;8;02/25/2012
0;0;8;02/26/2012
30;30;8;02/27/2012
2;94;8;02/28/2012
34;55;8;02/29/2012
0;86;8;03/01/2012
14;61;8;03/02/2012
0;53;8;03/03/2012
0;0;8;03/04/2012
21;25;8;03/05/2012
0;83;8;03/06/2012
18;20;8;03/07/2012
0;29;8;03/08/2012
14;46;8;03/09/2012
0;57;8;03/10/2012
0;0;8;03/11/2012
5;15;8;03/12/2012
0;63;8;03/13/2012
16;35;8;03/14/2012
0;86;8;03/15/2012
20;41;8;03/16/2012
0;0;8;03/17/2012
0;1;8;03/18/2012
22;36;8;03/19/2012
1;52;8;03/20/2012
10;41;8;03/21/2012
9;12;8;03/22/2012
30;51;8;03/23/2012
0;0;8;03/24/2012
0;0;8;03/25/2012
17;25;8;03/26/2012
0;37;8;03/27/2012
7;22;8;03/28/2012
0;35;8;03/29/2012
27;36;8;03/30/2012
0;0;8;03/31/2012
0;2;9;01/01/2012
39;134;9;01/02/2012
51;118;9;01/03/2012
37;75;9;01/04/2012
0;86;9;01/05/2012
0;0;9;01/06/2012
64;64;9;01/07/2012
0;0;9;01/08/2012
41;73;9;01/09/2012
30;100;9;01/10/2012
28;60;9;01/11/2012
2;18;9;01/12/2012
2;6;9;01/13/2012
58;59;9;01/14/2012
0;0;9;01/15/2012
30;52;9;01/16/2012
24;37;9;01/17/2012
20;23;9;01/18/2012
2;2;9;01/19/2012
1;1;9;01/20/2012
44;44;9;01/21/2012
0;0;9;01/22/2012
21;148;9;01/23/2012
34;131;9;01/24/2012
23;61;9;01/25/2012
2;23;9;01/26/2012
0;59;9;01/27/2012
74;67;9;01/28/2012
0;0;9;01/29/2012
19;24;9;01/30/2012
18;32;9;01/31/2012
138;122;9;02/01/2012
0;11;9;02/02/2012
15;34;9;02/03/2012
32;35;9;02/04/2012
0;0;9;02/05/2012
58;68;9;02/06/2012
4;10;9;02/07/2012
21;40;9;02/08/2012
0;7;9;02/09/2012
23;22;9;02/10/2012
58;59;9;02/11/2012
0;0;9;02/12/2012
40;33;9;02/13/2012
30;31;9;02/14/2012
11;13;9;02/15/2012
0;7;9;02/16/2012
0;7;9;02/17/2012
52;48;9;02/18/2012
0;0;9;02/19/2012
40;46;9;02/20/2012
20;37;9;02/21/2012
65;91;9;02/22/2012
0;11;9;02/23/2012
0;28;9;02/24/2012
0;0;9;02/25/2012
0;0;9;02/26/2012
2;3;9;02/27/2012
0;0;9;02/28/2012
0;17;9;02/29/2012
0;57;9;03/01/2012
3;4;9;03/02/2012
0;2;9;03/03/2012
0;0;9;03/04/2012
0;20;9;03/05/2012
0;18;9;03/06/2012
0;1;9;03/07/2012
0;1;9;03/08/2012
0;19;9;03/09/2012
0;0;9;03/10/2012
0;0;9;03/11/2012
49;81;9;03/12/2012
20;47;9;03/13/2012
17;16;9;03/14/2012
0;0;9;03/15/2012
2;2;9;03/16/2012
41;44;9;03/17/2012
0;0;9;03/18/2012
23;50;9;03/19/2012
29;33;9;03/20/2012
47;44;9;03/21/2012
0;2;9;03/22/2012
58;0;9;03/23/2012
49;43;9;03/24/2012
0;0;9;03/25/2012
21;24;9;03/26/2012
12;14;9;03/27/2012
15;17;9;03/28/2012
8;17;9;03/29/2012
0;10;9;03/30/2012
32;0;9;03/31/2012
0;0;10;01/01/2012
46;81;10;01/02/2012
23;95;10;01/03/2012
13;24;10;01/04/2012
